candidate_rank	word	combined_equal_corpus_ppm	hkcancor_count	cantomap_count	attested_both_spoken_corpora	cross_corpus_balance	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	cifu_top2000	cifu_rank	known_invalid_atomic	rime_present	rime_readings_compact	rime_source_files	review_flags	expert_status	expert_note
174	食	798.184462	190	5	true	0.033422	v	v:190	0.000000	sik6:190	v	v:5	sik6:5	true	255	false	true	ji6|sik6|zi6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
175	嗰陣時	797.858652	195	1	true	0.006513	r	r:171|t:24	0.000000	go2zan6si4:189|go2zan6si2:6	r	r:1	go2zan6si4:1	false		false	true	go2zan6si4	jyut6ping3.words.dict.yaml	domain_concentration_signal|demonstrative_sequence	unreviewed	
177	乜	778.184738	180	9	true	0.063502	r	r:179|v:1	0.000000	mat1:180	r	r:9	mat1:9	true	62	false	true	mat1|me1|me2|me5|me6|ne6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
179	一路	773.568248	29	127	true	0.179795	d	d:29	0.000000	jat1lou6:29	d	d:127	jat1lou6:127	true	169	false	true	jat1lou6	jyut6ping3.words.dict.yaml	quantified_sequence	unreviewed	
180	一直	770.034460	4	146	true	0.021572	d	d:4	0.000000	jat1zik6:4	d	d:138|a:6|m:1|t:1	jat1zik6:146	true	191	false	true	jat1zik6	jyut6ping3.words.dict.yaml	domain_concentration_signal|quantified_sequence	unreviewed	
181	交叉	768.164811	1	148	true	0.005320	n	n:1	0.000000	gaau1caa1:1	v	v:86|n:56|Ng:6	gaau1caa1:148	true	228	false	true	gaau1caa1	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
182	方	752.676304	1	145	true	0.005430	a	a:1	0.000000	fong1:1	n	n:129|a:10|x:4|q:1|v:1	fong1:145	true	125	false	true	fong1	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
183	錢	749.077371	183	1	true	0.006940	n	n:178|nr:5	0.027322	cin2:178|cin4:5	n	n:1	cin2:1	true	176	false	true	cin2|cin4|zin2	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
184	識	746.761613	171	10	true	0.074271	v	v:169|g1:1|vu:1	0.000000	sik1:171	v	v:10	sik1:10	true	199	false	true	sik1|zi3	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
185	年	732.816944	179	1	true	0.007095	q	q:178|n:1	0.000000	nin4:179	q	q:1	nin4:1	true	230	false	true	nin4	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
186	左面	727.959854	0	141	false	0.000000			0.000000		f	f:118|n:23	zo2min6:141	true	245	false	true	zo2min6	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
187	引依湖	717.634182	0	139	false	0.000000			0.000000		v	v:67|n:52|ns:6|a:4|f:3|x:2|d:2|nz:1	jan5ji1wu4:139	false		false	false			single_corpus_signal|rime_absent	unreviewed	
196	萍恨廟	691.820003	0	134	false	0.000000			0.000000		n	n:80|v:21|a:7|ns:7|x:6|Ng:5|Vg:2|c:1	ping4han6miu2:134	false		false	false			single_corpus_signal|rime_absent	unreviewed	
197	位置	691.494193	5	130	true	0.030284	n	n:5	0.000000	wai6zi3:5	n	n:110|Ng:14|q:3|a:2|v:1	wai6zi3:130	true	248	false	true	wai6zi3	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
198	哩啲	691.068147	170	0	false	0.000000	r	r:170	0.000000	ni1di1:170				false		false	false			single_corpus_signal|rime_absent|demonstrative_sequence	unreviewed	
