r7_order	word	common_core	common_rank	common_combined_ppm	common_attested_both	cifu_rank	cifu_spoken_adult	cifu_reconstructed_jyutping	prior_audit_status	priority_action
339	女朋友	false				842	30	false	handled_structurally	atomic_retirement_candidate
340	小學	true	662	114.920718	true	843	30	false	handled_structurally	protect_common_frequency_candidate
341	中文	true	715	102.279288	true	844	30	false	missing	protect_common_frequency_candidate
342	井	false				845	30	false	missing	low_priority_review
343	令到	true	1352	36.585961	false	846	30	true	manual_review	protect_common_frequency_candidate
344	去邊	false				847	30	true	manual_review	low_priority_review
345	立法	false				849	30	false	missing	low_priority_review
346	判決	false				850	30	false	missing	low_priority_review
347	拎	true	773	91.953616	true	851	30	false	missing	protect_common_frequency_candidate
348	法院	false				852	30	false	missing	low_priority_review
349	知點	false				853	30	true	manual_review	low_priority_review
350	城市	true	1096	52.846388	false	854	30	false	handled_structurally	protect_common_frequency_candidate
351	原因	true	1095	52.846388	false	857	30	false	missing	protect_common_frequency_candidate
352	病	true	1223	44.716174	false	858	30	false	missing	protect_common_frequency_candidate
353	純	true	780	90.735587	true	859	30	false	missing	protect_common_frequency_candidate
354	眼	true	872	75.693189	true	860	30	false	missing	protect_common_frequency_candidate
355	最多	true	1501	32.520854	false	861	30	false	handled_structurally	protect_common_frequency_candidate
356	喥	false				862	30	false	missing	low_priority_review
357	發生	true	1397	36.585961	false	863	30	false	handled_structurally	protect_common_frequency_candidate
358	開頭	true	802	87.562700	true	864	30	false	handled_structurally	protect_common_frequency_candidate
359	塘	true	1426	36.139851	false	865	30	false	missing	protect_common_frequency_candidate
360	經	true	502	185.862090	false	867	30	false	missing	protect_common_frequency_candidate
361	講真	true	725	101.627669	false	868	30	true	manual_review	protect_common_frequency_candidate
362	下方	true	233	552.423435	false	869	29	false	missing	protect_common_frequency_candidate
363	包住	false				870	29	false	missing	low_priority_review
364	行行	false				871	29	true	manual_review	low_priority_review
365	形容	true	664	114.354308	true	872	29	false	missing	protect_common_frequency_candidate
366	身	true	877	74.595460	true	873	29	false	missing	protect_common_frequency_candidate
367	法官	false				874	29	false	missing	low_priority_review
368	返學	true	791	89.432348	false	875	29	false	handled_structurally	protect_common_frequency_candidate
369	厘米	true	569	144.559404	false	876	29	false	missing	protect_common_frequency_candidate
370	問下	false				877	29	true	manual_review	low_priority_review
371	跌	true	805	86.464971	true	878	29	false	missing	protect_common_frequency_candidate
372	搞笑	true	638	118.985825	true	879	29	false	handled_structurally	protect_common_frequency_candidate
373	實	true	575	143.376465	true	881	29	false	missing	protect_common_frequency_candidate
374	撞	true	935	67.237166	true	882	29	false	missing	protect_common_frequency_candidate
375	一日	false				883	28	true	manual_review	low_priority_review
376	今晚	true	1198	44.716174	false	886	28	false	missing	protect_common_frequency_candidate
377	右手面	true	236	547.260599	false	887	28	false	manual_review	protect_common_frequency_candidate
378	左手	true	854	77.442538	false	888	28	false	manual_review	protect_common_frequency_candidate
379	平衡	true	778	90.735587	true	889	28	false	missing	protect_common_frequency_candidate
380	好難	false				890	28	true	manual_review	low_priority_review
381	成為	true	1135	51.302549	true	891	28	false	missing	protect_common_frequency_candidate
382	成績	true	1047	56.911494	false	892	28	false	missing	protect_common_frequency_candidate
383	周圍	true	809	85.367242	false	893	28	false	missing	protect_common_frequency_candidate
